카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
간편식품·밀키트,국내산 통생삼겹 500g,군산,군산 공급,8000,롯데택배,4000,면세,,표시
간편식품·밀키트,전통 울릉도 호박엿 600g,군산,군산 공급,9000,롯데택배,4000,과세,,표시
수산물,초대왕 반건조 갑오징어 400g급,군산,군산 공급,12000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 500g급,군산,군산 공급,13000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 600g급,군산,군산 공급,14000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 700g급,군산,군산 공급,15000,롯데택배,4000,면세,,표시
수산물,초대왕 반건조 갑오징어 800g급,군산,군산 공급,16000,롯데택배,4000,면세,,표시
수산물,코다리 1마리,군산,군산 공급,2700,롯데택배,4000,면세,,표시
수산물,북해도 반건조 우럭 3미,군산,군산 공급,6500,롯데택배,4000,면세,,표시
수산물,전통방식 건갈치 1kg,군산,군산 공급,13000,롯데택배,4000,면세,fish-4.webp,표시
수산물,명품 민어조기 2미,군산,군산 공급,6500,롯데택배,4000,면세,,표시
수산물,반건조 능성바리 2미,군산,군산 공급,4300,롯데택배,4000,면세,,표시
수산물,무염 특대 황금 알가자미 3미,군산,군산 공급,9500,롯데택배,4000,면세,fish-6.webp,표시
수산물,국내 자연 반건조 하모 1미,군산,군산 공급,6000,롯데택배,4000,면세,,표시
수산물,더큰 반건조 민어 5미,군산,군산 공급,18500,롯데택배,4000,면세,,표시
수산물,초특대 반건조민어 1미,군산,군산 공급,9500,롯데택배,4000,면세,,표시
수산물,초대왕 보양 반건조 민어 1미,군산,군산 공급,21000,롯데택배,4000,면세,,표시
수산물,대왕 급냉 갑오징어 1kg,군산,군산 공급,13500,롯데택배,4000,면세,,표시
간편식품·밀키트,국내산 꽃돌이 게장 2.8kg,군산,군산 공급,19500,롯데택배,4000,과세,,표시
수산물,반건조 초특대 참가자미 1미,군산,군산 공급,4500,롯데택배,4000,면세,,표시
수산물,반건조 대 참가자미 3미,군산,군산 공급,7500,롯데택배,4000,면세,,표시
수산물,고향 창난젓 200g,군산,군산 공급,3700,롯데택배,4000,과세,,표시
수산물,찐 초대왕박대 2미,군산,군산 공급,4800,롯데택배,4000,면세,,표시
수산물,찐 특초대왕박대 1미,군산,군산 공급,3000,롯데택배,4000,면세,,표시
수산물,찐 대박대 5미,군산,군산 공급,6400,롯데택배,4000,면세,,표시
수산물,찐 대왕박대 5미,군산,군산 공급,7500,롯데택배,4000,면세,,표시
수산물,고향 오징어젓 200g,군산,군산 공급,3700,롯데택배,4000,과세,,표시
수산물,프리미엄 5지 왕갈치 1팩,군산,군산 공급,6500,롯데택배,4000,면세,,표시
수산물,국내산 암꽃게장 2.5kg,군산,군산 공급,26000,롯데택배,4000,면세,,표시
간편식품·밀키트,달큰 간장 돌게장 2.5kg,군산,군산 공급,14000,롯데택배,4000,과세,,표시
수산물,고향 낙지젓 200g,군산,군산 공급,5200,롯데택배,4000,과세,,표시
수산물,고향 명란젓 200g,군산,군산 공급,5200,롯데택배,4000,과세,,표시
수산물,국내산 손질 오징어 3미,군산,군산 공급,10400,롯데택배,4000,면세,,표시
간편식품·밀키트,군침싹도는 장대 3kg,군산,군산 공급,7500,롯데택배,4000,면세,,표시
수산물,급냉 생새우 500g,군산,군산 공급,6500,롯데택배,4000,면세,,표시
간편식품·밀키트,맛있게 구운 양태채 300g,군산,군산 공급,8000,롯데택배,4000,면세,,표시
수산물,맛있게 구운 쥐포채 300g,군산,군산 공급,7500,롯데택배,4000,면세,,표시
수산물,참쥐포 10장+1장,군산,군산 공급,5500,롯데택배,4000,면세,,표시
수산물,자연산 삼치 1미,군산,군산 공급,6000,롯데택배,4000,면세,,표시
수산물,급냉 호래기 500g,군산,군산 공급,13000,롯데택배,4000,면세,,표시
수산물,급냉 국거리 실치 300g,군산,군산 공급,9500,롯데택배,4000,면세,,표시
수산물,연안 백상합 1kg,인천,인천 공급,3000,우체국택배,4000,면세,,표시
수산물,연안 대왕가리비 1kg,인천,인천 공급,24000,우체국택배,4000,면세,,표시
수산물,연안 급냉 갯가재 500g,인천,인천 공급,8500,우체국택배,4000,면세,,표시
수산물,연안 생연어 1kg,인천,인천 공급,31000,우체국택배,4000,면세,,표시
수산물,연안 생연어 500g,인천,인천 공급,16000,우체국택배,4000,면세,,표시
수산물,연안 생연어 300g,인천,인천 공급,9500,우체국택배,4000,면세,fish-8.webp,표시
수산물,연안 해삼 500g,인천,인천 공급,16000,우체국택배,4000,면세,,표시
간편식품·밀키트,해신탕 1세트,인천,인천 공급,23000,우체국택배,4000,면세,,표시
수산물,연안 메로목살 200g,인천,인천 공급,7000,우체국택배,4000,면세,,표시
수산물,연안 메로 스테이크 200g,인천,인천 공급,10000,우체국택배,4000,면세,,표시
간편식품·밀키트,케이퍼소스 1팩,인천,인천 공급,2200,우체국택배,4000,과세,,표시
수산물,연안 멍게 1kg,인천,인천 공급,4000,우체국택배,4000,면세,,표시
수산물,연안 활 랍스타 500g,인천,인천 공급,28000,우체국택배,4000,면세,,표시
수산물,연안 급냉 돌게 1kg,인천,인천 공급,7500,우체국택배,4000,면세,,표시
수산물,전복추가 200g,인천,인천 공급,4000,우체국택배,4000,면세,,표시
수산물,문어추가 1미,인천,인천 공급,8500,우체국택배,4000,면세,,표시
수산물,연안 구십미전복 1kg,인천,인천 공급,18000,우체국택배,4000,면세,,표시
수산물,연안 칠팔미전복 1kg,인천,인천 공급,20500,우체국택배,4000,면세,,표시
수산물,연안 급냉 황석어 500g,인천,인천 공급,4000,우체국택배,4000,면세,,표시
수산물,연안 급냉 봄 소암게 1kg,인천,인천 공급,15000,우체국택배,4000,면세,,표시
수산물,연안 급냉 대암게 1kg,인천,인천 공급,23000,우체국택배,4000,면세,,표시
수산물,연안 급냉 소숫게 1kg,인천,인천 공급,7800,우체국택배,4000,면세,,표시
수산물,연안 급냉 대숫게 1kg,인천,인천 공급,10000,우체국택배,4000,면세,fish-7.webp,표시
수산물,연안 연어 스테이크 200g,인천,인천 공급,4500,우체국택배,4000,면세,,표시
수산물,연안 급냉 밴댕이 1kg,인천,인천 공급,7700,우체국택배,4000,면세,,표시
수산물,연안 손질 꽃게 1kg,인천,인천 공급,8800,우체국택배,4000,면세,fish-9.webp,표시
간편식품·밀키트,연안 범게 1kg,인천,인천 공급,11000,우체국택배,4000,면세,,표시
수산물,연안 연어배꼽살 1팩,인천,인천 공급,4500,우체국택배,4000,면세,,표시
수산물,연안 연어머리 1팩,인천,인천 공급,3000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 강도다리세꼬시 200g,인천,인천 공급,13000,우체국택배,4000,면세,,표시
수산물,연안 대광어회 200g,인천,인천 공급,14500,우체국택배,4000,면세,,표시
수산물,연안 급냉 풀도다리 1kg,인천,인천 공급,13500,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 동백하 1kg,인천,인천 공급,11000,우체국택배,4000,면세,,표시
수산물,연안 홍합 5kg,인천,인천 공급,8000,우체국택배,4000,면세,,표시
수산물,연안 반건조 알가자미 1팩,인천,인천 공급,16000,우체국택배,4000,면세,,표시
수산물,연안 급냉 호래기 500g,인천,인천 공급,8000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 동죽 칼국수 2kg,인천,인천 공급,11000,우체국택배,4000,면세,,표시
수산물,연안 급냉 횟감 병어 1kg,인천,인천 공급,8000,우체국택배,4000,면세,,표시
수산물,연안 급냉 초대왕갑오징어 2kg,인천,인천 공급,36000,우체국택배,4000,면세,,표시
수산물,연안 바지락 1kg,인천,인천 공급,5000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 개불 10미,인천,인천 공급,26000,우체국택배,4000,면세,,표시
수산물,연안 대장전복 1kg,인천,인천 공급,18000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 배말 500g,인천,인천 공급,15000,우체국택배,4000,면세,,표시
수산물,연안 급냉 토막갈치 2미,인천,인천 공급,3000,우체국택배,4000,면세,,표시
수산물,연안 급냉 참고등어 2미,인천,인천 공급,5500,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 거북손 500g,인천,인천 공급,7000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 대청홍어 200g,인천,인천 공급,8000,우체국택배,4000,면세,,표시
간편식품·밀키트,와사비간장소스 1팩,인천,인천 공급,1900,우체국택배,4000,과세,,표시
간편식품·밀키트,녹미원 생와사비 1팩,인천,인천 공급,3300,우체국택배,4000,과세,,표시
간편식품·밀키트,연안 모시 1kg,인천,인천 공급,9000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 조개찜 1세트,인천,인천 공급,20000,우체국택배,4000,면세,,표시
간편식품·밀키트,연안 대합 1kg,인천,인천 공급,13500,우체국택배,4000,면세,,표시
수산물,연안 초딩전복 1kg,인천,인천 공급,15000,씨제이대한통운/우체국택배,4000,면세,,표시
수산물,연안 소키조개 1미,인천,인천 공급,4500,우체국택배,4000,면세,,표시
수산물,연안 중키조개 1미,인천,인천 공급,5000,우체국택배,4000,면세,,표시
축산물,투쁠 국거리 300g,동해,동해 공급,8000,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,명품 우족 4kg,동해,동해 공급,16500,씨제이대한통운,4000,면세,,표시
축산물,초특가 국내산 등갈비 1kg,동해,동해 공급,9300,씨제이대한통운,4000,면세,,표시
수산물,횟감 단새우 500g,동해,동해 공급,9000,씨제이대한통운,4000,면세,,표시
수산물,횟감 단새우 1kg,동해,동해 공급,18000,씨제이대한통운,4000,면세,,표시
수산물,대왕 선동 활 쭈꾸미 1kg,동해,동해 공급,11500,씨제이대한통운,4000,면세,fish-1.webp,표시
수산물,급냉 탱탱 알주꾸미 1kg,동해,동해 공급,20000,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,부산 원조 상천 사각어묵 2kg,동해,동해 공급,8100,씨제이대한통운,4000,과세,,표시
축산물,점보 닭다리 1kg,동해,동해 공급,5500,씨제이대한통운,4000,면세,,표시
